ID Lat Lon Dep Mag Strike Dip Rake
1432 48.553756 -123.471354 22.514 1.7 -1234 -1234 -2468
1439 48.552421 -123.459757 22.613 0.4 -1234 -1234 -1234
1511 48.550024 -123.449935 20.77 1.1 -1234 -1234 -1234
ID Lat Lon Dep Mag Strike Dip Rake
348 48.573885 -123.542082 27.109 0.9 -1234 -1234 -2468
350 48.573324 -123.548787 26.811 0.6 -1234 -1234 -2468
449 48.600618 -123.623071 22.29 1.8 -1234 -1234 -2468
535 48.573649 -123.583976 28.189 1.1 -1234 -1234 -2468
576 48.61121 -123.647917 23.07 0.7 -1234 -1234 -2468
597 48.604687 -123.664046 23.855 0.9 -1234 -1234 -2468
637 48.566561 -123.500179 26.148 1.2 -1234 -1234 -2468
651 48.594478 -123.541919 26.117 0.9 -1234 -1234 -2468
664 48.593758 -123.614453 23.084 0.7 -1234 -1234 -2468
672 48.576648 -123.539095 27.978 0.7 -1234 -1234 -2468
685 48.624618 -123.589868 23.898 0.5 -1234 -1234 -2468
798 48.603524 -123.623014 20.769 0.9 -1234 -1234 -2468
865 48.575574 -123.517505 24.321 1.6 -1234 -1234 -2468
881 48.591695 -123.56202 20.323 1.1 -1234 -1234 -1015
1192 48.584595 -123.653166 24.809 0.9 -1234 -1234 -1192
1196 48.60354 -123.649845 19.995 0.7 -1234 -1234 -2468
1200 48.604891 -123.713411 21.916 0.8 219 49 -52
1214 48.589587 -123.548486 25.586 0.9 42 47 -4
1256 48.573157 -123.522266 24.389 0.7 -1234 -1234 -2468
1277 48.571134 -123.51748 25.065 1.4 -1234 -1234 -2468
1310 48.609574 -123.688208 23.47 1.4 -1234 -1234 -2468
1334 48.607914 -123.604712 21.716 0.4 -1234 -1234 -2468
1337 48.612081 -123.636426 17.523 1 -1234 -1234 -2468
1469 48.588208 -123.518953 25.706 0.5 -1234 -1234 -1234
1493 48.604077 -123.633797 22.787 0.6 -1234 -1234 -1234
1500 48.606128 -123.656242 22.088 0.3 -1234 -1234 -1234
ID Lat Lon Dep Mag Strike Dip Rake
337 48.461003 -123.486304 23.12 0.8 -1234 -1234 -1234
338 48.460693 -123.491219 23.475 0.6 -1234 -1234 -1234
392 48.477352 -123.370809 23.808 0.6 -1234 -1234 -1234
442 48.46224 -123.475863 8.298 1.4 -1234 -1234 -1234
513 48.469674 -123.466504 22.267 0.7 -1234 -1234 -1234
514 48.471847 -123.390568 22.881 1.7 -1234 -1234 -1234
536 48.476461 -123.422477 23.194 0.9 -1234 -1234 -1234
